x,y
2.375810384750366,-0.04917968809604645
2.497392416000366,-0.04994140565395355
2.590952157974243,-0.05046386644244194
2.7131543159484863,-0.05096679553389549
2.8526854515075684,-0.05135253816843033
2.946889638900757,-0.05157226324081421
3.071596622467041,-0.051713865250349045
3.209174633026123,-0.05182128772139549
3.356020450592041,-0.05191406235098839
3.4703123569488525,-0.051874998956918716
3.6024365425109863,-0.051762692630290985
3.7357470989227295,-0.05140136554837227
3.8385205268859863,-0.050957031548023224
3.9640917778015137,-0.05028320103883743
4.108159065246582,-0.049433592706918716
4.20706033706665,-0.04881835728883743
4.348842620849609,-0.04766601324081421
4.51186990737915,-0.04615234211087227
4.6199951171875,-0.04500488191843033
4.750708103179932,-0.04332519322633743
4.878457069396973,-0.04155273362994194
4.983119964599609,-0.03996093571186066
5.126259803771973,-0.037626951932907104
5.289018630981445,-0.034550782293081284
5.420957088470459,-0.03188476338982582
5.571367263793945,-0.028901366516947746
5.7257080078125,-0.025449218228459358
5.864975452423096,-0.0222021471709013
5.967289924621582,-0.019770506769418716
6.126010417938232,-0.015302734449505806
6.289243221282959,-0.009418944828212261
6.415605545043945,-0.004350585862994194
6.573061466217041,0.0025097655598074198
6.725175857543945,0.010175781324505806
6.874448299407959,0.01828613318502903
6.97817850112915,0.024179687723517418
7.129965782165527,0.03349120914936066
7.292328834533691,0.044379882514476776
7.412158012390137,0.05272460728883743
7.567939281463623,0.0638720691204071
7.721381664276123,0.07485351711511612
7.879052639007568,0.08610839396715164
7.988505840301514,0.09367675334215164
8.133686065673828,0.1029687449336052
8.274540901184082,0.11112792789936066
8.403882026672363,0.1180126890540123
8.551992416381836,0.12476073950529099
8.679970741271973,0.1301904320716858
8.782919883728027,0.13407714664936066
8.93484878540039,0.1383105367422104
9.121821403503418,0.14101561903953552
9.216322898864746,0.14177733659744263
9.34291934967041,0.1416064351797104
9.475443840026855,0.1400439441204071
9.574809074401855,0.13804198801517487
9.69839859008789,0.13417480885982513
9.811293601989746,0.12937010824680328
9.88893985748291,0.12540526688098907
10.007612228393555,0.11769042909145355
10.10818862915039,0.10979492217302322
10.18001937866211,0.1033935546875
10.272440910339355,0.09379882365465164
10.37404727935791,0.08142577856779099
10.443076133728027,0.07209472358226776
10.52896499633789,0.058833006769418716
10.616430282592773,0.04334472492337227
10.696386337280273,0.027651365846395493
10.811176300048828,0.0022070312406867743
10.89871597290039,-0.018730469048023224
10.996932983398438,-0.043950192630290985
11.10110855102539,-0.07244628667831421
11.205263137817383,-0.10249999910593033
11.288544654846191,-0.12743651866912842
11.392963409423828,-0.1601220667362213
11.489521026611328,-0.19143065810203552
11.556488990783691,-0.2136279195547104
11.66207504272461,-0.24968749284744263
